sample_id,sr_method,sr_filename,sr_path,gt_path,lr_path,psnr_gt,ssim_gt,lpips-vgg_gt,stlpips-vgg_gt,pieapp_gt,ahiq_gt,psnr_bicubic,ssim_bicubic,lpips-vgg_bicubic,stlpips-vgg_bicubic,pieapp_bicubic,ahiq_bicubic,psnr_rlfn,ssim_rlfn,lpips-vgg_rlfn,stlpips-vgg_rlfn,pieapp_rlfn,ahiq_rlfn,psnr_span,ssim_span,lpips-vgg_span,stlpips-vgg_span,pieapp_span,ahiq_span
PASD:ava_images___436880,PASD,ava_images___436880.png,dataset/sr/PASD/ava_images___436880.png,dataset/hr/ava_images___436880.png,dataset/lr/ava_images___436880.png,17.655744552612305,0.5122554702965582,0.37746721506118774,0.19084833562374115,1.358741283416748,0.25007158517837524,19.98603630065918,0.6219525788256142,0.444388747215271,0.48341765999794006,-0.018210534006357193,0.25787925720214844,19.945541381835938,0.592121124061284,0.435588002204895,0.4654756188392639,0.8868391513824463,0.20051684975624084,19.656984329223633,0.5936418647136377,0.44764888286590576,0.4270344078540802,0.8529924154281616,0.22645197808742523
PASD:ava_images___46021,PASD,ava_images___46021.png,dataset/sr/PASD/ava_images___46021.png,dataset/hr/ava_images___46021.png,dataset/lr/ava_images___46021.png,26.877185821533203,0.9259834552058479,0.2023162841796875,0.05301440879702568,0.6530835032463074,0.514227032661438,26.607664108276367,0.9189100771314512,0.23185618221759796,0.1339438557624817,-0.05058923736214638,0.4744931161403656,25.834815979003906,0.9117217778921094,0.2247774600982666,0.0796896293759346,1.5961742401123047,0.44276055693626404,25.87283706665039,0.9136693752644957,0.23748789727687836,0.09912698715925217,0.5953489542007446,0.47150760889053345
PASD:ava_images___472713,PASD,ava_images___472713.png,dataset/sr/PASD/ava_images___472713.png,dataset/hr/ava_images___472713.png,dataset/lr/ava_images___472713.png,22.154762268066406,0.6122954602756722,0.3585279881954193,0.2767437696456909,1.412076473236084,0.3503705859184265,22.96124267578125,0.6503283341053276,0.4558032751083374,0.46287980675697327,0.4575332701206207,0.3038329780101776,22.830459594726562,0.6444413856573414,0.44885483384132385,0.4422992467880249,1.433959722518921,0.2473769634962082,22.799057006835938,0.6456798516873345,0.4587792158126831,0.4360763430595398,1.0678805112838745,0.27300548553466797
PASD:ava_images___501777,PASD,ava_images___501777.png,dataset/sr/PASD/ava_images___501777.png,dataset/hr/ava_images___501777.png,dataset/lr/ava_images___501777.png,24.45591163635254,0.730816134263294,0.4188145697116852,0.3417559862136841,1.1306232213974,0.3246762454509735,24.76335334777832,0.756233549156885,0.4578523337841034,0.43615204095840454,0.7399627566337585,0.3430541455745697,24.773719787597656,0.7546887816071748,0.43815916776657104,0.3956562876701355,1.1975663900375366,0.31412273645401,24.87075424194336,0.7603811953540878,0.4543273448944092,0.4043898284435272,0.9595235586166382,0.3298628330230713
PASD:ava_images___564572,PASD,ava_images___564572.png,dataset/sr/PASD/ava_images___564572.png,dataset/hr/ava_images___564572.png,dataset/lr/ava_images___564572.png,22.28987693786621,0.8195663762645448,0.1776144802570343,0.08845963329076767,0.1845042109489441,0.37354040145874023,24.10956382751465,0.8219836518551066,0.29362887144088745,0.2779535949230194,0.0202387236058712,0.4088312089443207,23.86630630493164,0.8170370275553361,0.2962290644645691,0.24944975972175598,0.01454447116702795,0.32968616485595703,23.80108642578125,0.8202065637254707,0.30391553044319153,0.26238828897476196,-0.05100317671895027,0.3708595335483551
PASD:ava_images___588008,PASD,ava_images___588008.png,dataset/sr/PASD/ava_images___588008.png,dataset/hr/ava_images___588008.png,dataset/lr/ava_images___588008.png,38.18873977661133,0.9627508443448242,0.21291151642799377,0.0954168289899826,0.2729174792766571,0.5367744565010071,40.24690246582031,0.9716007663200189,0.24210646748542786,0.17553476989269257,0.4234369397163391,0.5556308627128601,32.501712799072266,0.9655186647589536,0.24894818663597107,0.1710282415151596,0.47077468037605286,0.5298952460289001,32.1052131652832,0.966092200897364,0.257794052362442,0.19138558208942413,0.5471900701522827,0.539691150188446
PASD:ava_images___645845,PASD,ava_images___645845.png,dataset/sr/PASD/ava_images___645845.png,dataset/hr/ava_images___645845.png,dataset/lr/ava_images___645845.png,22.979095458984375,0.7389894769570136,0.290705144405365,0.15248450636863708,1.4017200469970703,0.34234505891799927,25.09659194946289,0.8072817735258936,0.3449226915836334,0.2256680428981781,0.6556769609451294,0.4990656077861786,24.768871307373047,0.7852412428356316,0.2990509569644928,0.2195448875427246,0.9831606149673462,0.4347967207431793,24.938339233398438,0.8019037856703852,0.33250221610069275,0.22761571407318115,0.8079754710197449,0.46911975741386414
PASD:ava_images___699615,PASD,ava_images___699615.png,dataset/sr/PASD/ava_images___699615.png,dataset/hr/ava_images___699615.png,dataset/lr/ava_images___699615.png,22.42281723022461,0.7986408288320833,0.20795366168022156,0.10897303372621536,1.1982336044311523,0.48708707094192505,25.50440216064453,0.854661106759849,0.2403581738471985,0.17616815865039825,0.3936029076576233,0.5663896799087524,25.597192764282227,0.8523119768899033,0.23106282949447632,0.16611133515834808,0.6988521814346313,0.4613431990146637,25.378108978271484,0.8517104028396388,0.24654929339885712,0.16172388195991516,0.5733091831207275,0.5092834830284119
PASD:ava_images___710191,PASD,ava_images___710191.png,dataset/sr/PASD/ava_images___710191.png,dataset/hr/ava_images___710191.png,dataset/lr/ava_images___710191.png,26.95854377746582,0.8525431024766936,0.19267959892749786,0.09388665109872818,0.6748524308204651,0.41271182894706726,29.39691162109375,0.894183177923982,0.2573259472846985,0.17392416298389435,0.09611651301383972,0.4415725767612457,29.730934143066406,0.8943363718109151,0.24259239435195923,0.14431039988994598,0.5033645629882812,0.4133044183254242,29.45545196533203,0.8929680515984542,0.2572273313999176,0.14650404453277588,0.37167811393737793,0.4155224859714508
PASD:ava_images___737450,PASD,ava_images___737450.png,dataset/sr/PASD/ava_images___737450.png,dataset/hr/ava_images___737450.png,dataset/lr/ava_images___737450.png,23.676321029663086,0.7823865606985023,0.2137668877840042,0.15369197726249695,1.8193703889846802,0.44100475311279297,25.897987365722656,0.8255891510104441,0.2505943179130554,0.25276729464530945,1.6062630414962769,0.4021291732788086,24.545888900756836,0.8014502131743294,0.2737722396850586,0.2326684594154358,1.8497980833053589,0.34735777974128723,24.712665557861328,0.8066758323573321,0.2696170210838318,0.24126112461090088,1.408663034439087,0.3369666039943695
