name,min,max,mean,median,std,p05,p95,area00,area05,area075
PASD/1024x768___4962875195.npy.gz,0.0,0.282926082611084,0.12259906530380249,0.12469696998596191,0.05770691856741905,0.0004328489303588867,0.2219700813293457,0.95367431640625,0.0,0.0
PASD/ava_images___101816.npy.gz,0.0,0.2842528223991394,0.16004949808120728,0.17796078324317932,0.07892265915870667,0.0,0.25607389211654663,0.8465011286681715,0.0,0.0
PASD/ava_images___158174.npy.gz,0.0,0.23465922474861145,0.06445594877004623,0.04781752824783325,0.06658636778593063,0.0,0.20682311058044434,0.87890625,0.0,0.0
PASD/ava_images___18037.npy.gz,0.0,0.21394041180610657,0.06404504179954529,0.054802000522613525,0.047401104122400284,0.0,0.16607356071472168,0.87890625,0.0,0.0
PASD/ava_images___217590.npy.gz,0.0,0.18668925762176514,0.05334613099694252,0.04097074270248413,0.040684331208467484,0.0,0.13762834668159485,0.9263833992094862,0.0,0.0
PASD/ava_images___251530.npy.gz,0.0,0.27305305004119873,0.19296754896640778,0.2152085304260254,0.07626766711473465,0.0,0.26090165972709656,0.8782201405152225,0.0,0.0
PASD/ava_images___253900.npy.gz,0.0,0.28866487741470337,0.11227670311927795,0.11880934238433838,0.07138753682374954,0.0,0.22557032108306885,0.9174792911817133,0.0,0.0
PASD/ava_images___273810.npy.gz,0.00019928812980651855,0.20144063234329224,0.06740886718034744,0.04998686909675598,0.052757278084754944,0.003660440444946289,0.16839540004730225,1.0,0.0,0.0
PASD/ava_images___295451.npy.gz,0.0,0.23827308416366577,0.0953279435634613,0.07914036512374878,0.07127413898706436,0.0,0.21126452088356018,0.8782201405152225,0.0,0.0
PASD/ava_images___308473.npy.gz,0.0,0.24493375420570374,0.1184605062007904,0.13122668862342834,0.07013452053070068,0.0,0.2107250690460205,0.8782201405152225,0.0,0.0
PASD/ava_images___321917.npy.gz,0.0,0.3506046533584595,0.20921571552753448,0.24875086545944214,0.10326521098613739,0.0,0.31423419713974,0.8680555555555556,0.0,0.0
PASD/ava_images___360165.npy.gz,0.0,0.2650545835494995,0.13188253343105316,0.14098969101905823,0.06813573837280273,0.0,0.23755604028701782,0.8802816901408451,0.0,0.0
PASD/ava_images___426629.npy.gz,0.0,0.3078739643096924,0.15981514751911163,0.1878027319908142,0.08967996388673782,0.0,0.26795026659965515,0.9014423076923077,0.0,0.0
PASD/ava_images___436880.npy.gz,0.0,0.25943416357040405,0.16179879009723663,0.1729578971862793,0.06082962825894356,0.0,0.2353566288948059,0.9191176470588235,0.0,0.0
PASD/ava_images___46021.npy.gz,0.0,0.12248885631561279,0.044923581182956696,0.042944252490997314,0.027139408513903618,0.0,0.08534610271453857,0.893802966101695,0.0,0.0
PASD/ava_images___472713.npy.gz,0.0,0.27720028162002563,0.14398755133152008,0.1659751832485199,0.07829244434833527,0.0,0.2532978355884552,0.8881578947368421,0.0,0.0
PASD/ava_images___501777.npy.gz,0.0,0.29105520248413086,0.13310323655605316,0.131028950214386,0.06749272346496582,0.0,0.2538832724094391,0.9273830935251799,0.0,0.0
PASD/ava_images___564572.npy.gz,0.0,0.2661924958229065,0.09594633430242538,0.09596121311187744,0.07071223109960556,0.0,0.21091777086257935,0.9283371913580247,0.0,0.0
PASD/ava_images___588008.npy.gz,0.0,0.13732481002807617,0.03395850956439972,0.013547837734222412,0.036160338670015335,0.0,0.10890424251556396,0.8567232375979112,0.0,0.0
PASD/ava_images___645845.npy.gz,0.0,0.28043001890182495,0.10535681247711182,0.12355467677116394,0.07967449724674225,0.0,0.21605783700942993,0.8471385542168675,0.0,0.0
PASD/ava_images___699615.npy.gz,0.0,0.2097463607788086,0.0779186338186264,0.07648143172264099,0.06687793880701065,0.0,0.185856431722641,0.8735150244584207,0.0,0.0
PASD/ava_images___710191.npy.gz,0.0,0.2820128798484802,0.08903703093528748,0.05622318387031555,0.09122497588396072,0.0,0.25238949060440063,0.860969387755102,0.0,0.0
PASD/ava_images___737450.npy.gz,0.0,0.19204601645469666,0.06988810002803802,0.05347663164138794,0.053813278675079346,0.0,0.16838914155960083,0.8823529411764706,0.0,0.0
PASD/ava_images___74410.npy.gz,0.0,0.3049059510231018,0.19770614802837372,0.22516882419586182,0.0838259607553482,0.0,0.2747407555580139,0.860969387755102,0.0,0.0
PASD/ava_images___751927.npy.gz,0.0,0.2557740807533264,0.07136645168066025,0.04550200700759888,0.06260314583778381,0.0,0.20396268367767334,0.925124951941561,0.0,0.0
PASD/ava_images___773899.npy.gz,0.0,0.23097187280654907,0.0868120938539505,0.06688380241394043,0.07185997068881989,0.0,0.21881622076034546,0.8782201405152225,0.0,0.0
PASD/ava_images___827653.npy.gz,0.0,0.29747700691223145,0.13682669401168823,0.15025785565376282,0.06915473937988281,0.0,0.24240273237228394,0.8761682242990654,0.0,0.0
PASD/ava_images___842206.npy.gz,0.032044172286987305,0.28192412853240967,0.15455015003681183,0.15999527275562286,0.06360524147748947,0.042276203632354736,0.2524205446243286,1.0,0.0,0.0
PASD/ava_images___846773.npy.gz,0.039066165685653687,0.29857102036476135,0.15633951127529144,0.15511752665042877,0.05990435928106308,0.06173431873321533,0.2522267997264862,1.0,0.0,0.0
PASD/ava_images___857447.npy.gz,0.0009115338325500488,0.3459376096725464,0.17490889132022858,0.19418233633041382,0.08769193291664124,0.0046171811409294605,0.29122450947761536,1.0,0.0,0.0
PASD/ava_images___864250.npy.gz,0.0,0.2804754972457886,0.15032851696014404,0.16719573736190796,0.06161484494805336,0.04642793536186218,0.23228639364242554,0.9615384615384616,0.0,0.0
PASD/ava_images___865616.npy.gz,0.0,0.2674497365951538,0.13865454494953156,0.14716577529907227,0.07353616505861282,0.0,0.2395891547203064,0.9254429506486513,0.0,0.0
PASD/ava_images___953752.npy.gz,0.0,0.292626291513443,0.14074362814426422,0.15926361083984375,0.08146856725215912,0.011313587427139282,0.24689355492591858,0.9774436090225563,0.0,0.0
PASD/blur_dataset___out_of_focus0685.npy.gz,0.0,0.23432523012161255,0.1005919948220253,0.1017419695854187,0.0672464668750763,0.0,0.2061992883682251,0.8844339622641509,0.0,0.0
PASD/voc_emotic_ava___EMOTIC__COCO_train2014_000000244530.npy.gz,0.0,0.26936283707618713,0.14038366079330444,0.14932510256767273,0.06833697855472565,0.0,0.23156028985977173,0.87890625,0.0,0.0
PASD/voc_emotic_ava___EMOTIC__COCO_train2014_000000247190.npy.gz,0.0,0.295812726020813,0.1647077202796936,0.18077030777931213,0.08525179326534271,0.0,0.2810205817222595,0.8782201405152225,0.0,0.0
PASD/voc_emotic_ava___EMOTIC__COCO_val2014_000000020598.npy.gz,0.0,0.25303471088409424,0.14935196936130524,0.16899341344833374,0.06929752975702286,0.0,0.2371990978717804,0.8844339622641509,0.0,0.0
