model,plcc,srcc,source,feature,column,higher_is_better,normalized
catboost,0.9457466198778804,0.9469565217391304,regressor,,,,
randomforest,0.8835731657852437,0.9182608695652172,regressor,,,,
mean,0.8805585920795697,0.8837681159420289,summary,,,,
xgb,0.8123559905755852,0.786086956521739,regressor,,,,
MUSIQ (NR),0.738571091141047,0.7478260869565216,metric,nr,musiq,True,True
ARNIQA (NR),0.5416696528055334,0.4669565217391304,metric,nr,arniqa,True,True
LPIPS-VGG+GT (FR),0.3059577743230163,0.2478260869565217,metric,fr,lpips-vgg_gt,False,True
