feature,feature_count,samples,mean_runtime_sec,total_runtime_sec,mean_flops,total_profiled_flops,flops_profiled_samples
arniqa,1,120,0.03333980382885784,4.000776459462941,68773748911.8,8252849869416.0,120
musiq,1,120,0.021054806800869606,2.5265768161043525,42344799721.825,5081375966619.0,120
paq2piq,1,120,0.0045681407675147055,0.5481768921017647,24345558568.533333,2921467028224.0,120
qalign,1,120,0.1431730820874994,17.180769850499928,1978032038182.0,237363844581840.0,120
unique,1,120,0.009262858734776577,1.1115430481731892,49359807426.13333,5923176891136.0,120
