feature,feature_count,samples,mean_runtime_sec,total_runtime_sec,mean_flops,total_profiled_flops,flops_profiled_samples
ahiq_bicubic,1,120,0.9292127874214202,111.50553449057043,6751967769920.0,810236132390400.0,120
ahiq_gt,1,120,0.9171161270001903,110.05393524002284,6751967769920.0,810236132390400.0,120
ahiq_rlfn,1,120,0.9186143213727822,110.23371856473386,6751967769920.0,810236132390400.0,120
ahiq_span,1,120,0.9338778823148459,112.06534587778151,6751967769920.0,810236132390400.0,120
lpips-vgg_bicubic,1,120,0.03813989941651622,4.576787929981947,406196470261.6,48743576431392.0,120
lpips-vgg_gt,1,120,0.04004539530724287,4.805447436869144,405996715765.0,48719605891800.0,120
lpips-vgg_rlfn,1,120,0.038173333082037665,4.58079996984452,406196470261.6,48743576431392.0,120
lpips-vgg_span,1,120,0.038521477556787434,4.622577306814492,406196470261.6,48743576431392.0,120
pieapp_bicubic,1,120,0.0840380544308573,10.084566531702876,726285819522.5583,87154298342707.0,120
pieapp_gt,1,120,0.08460833298352857,10.152999958023429,726285819127.7583,87154298295331.0,120
pieapp_rlfn,1,120,0.08384418056036035,10.061301667243242,726285819522.5583,87154298342707.0,120
pieapp_span,1,120,0.08525205406670769,10.230246488004923,726285819522.5583,87154298342707.0,120
psnr_bicubic,1,120,0.004027962971789142,0.483355556614697,3.0,360.0,120
psnr_gt,1,120,0.004545068407120804,0.5454082088544965,3.0,360.0,120
psnr_rlfn,1,120,0.004067885813613733,0.4881462976336479,3.0,360.0,120
psnr_span,1,120,0.004010260648404558,0.481231277808547,3.0,360.0,120
ssim_bicubic,1,120,0.013433755934238433,1.612050712108612,407264156.25,48871698750.0,120
ssim_gt,1,120,0.013707919690447549,1.6449503628537059,407182240.9166667,48861868910.0,120
ssim_rlfn,1,120,0.01283160550519824,1.5397926606237888,407264156.25,48871698750.0,120
ssim_span,1,120,0.01307943919673562,1.5695327036082745,407264156.25,48871698750.0,120
stlpips-vgg_bicubic,1,120,0.04169180019913862,5.003016023896635,416620328102.73334,49994439372328.0,120
stlpips-vgg_gt,1,120,0.04372207021030287,5.246648425236344,416583099150.5333,49989971898064.0,120
stlpips-vgg_rlfn,1,120,0.041691839081856114,5.003020689822733,416620328102.73334,49994439372328.0,120
stlpips-vgg_span,1,120,0.04303834602081527,5.164601522497833,416620328102.73334,49994439372328.0,120
